Num,Num_Back,Num_SQ,NUM_BACK_SQ
680,2002001,1002002,4008008004001,1004008008004
681,2002011,1102002,4008048044121,1214408408004
682,2002021,1202002,4008088084441,1444808808004
683,2002101,1012002,4008408414201,1024148048004
684,2002111,1112002,4008448456321,1236548448004
685,2002121,1212002,4008488498641,1468948848004
686,2002201,1022002,4008808844401,1044488088004
687,2002211,1122002,4008848888521,1258888488004
688,2010001,1000102,4040104020001,1000204010404
689,2010002,2000102,4040108040004,4000408010404
690,2010011,1100102,4040144220121,1210224410404
691,2010012,2100102,4040148240144,4410428410404
692,2010021,1200102,4040184420441,1440244810404
693,2010022,2200102,4040188440484,4840448810404
694,2010101,1010102,4040506030201,1020306050404
695,2010111,1110102,4040546232321,1232326450404
696,2010121,1210102,4040586434641,1464346850404
697,2010201,1020102,4040908060401,1040608090404
698,2010211,1120102,4040948264521,1254628490404
699,2010221,1220102,4040988468841,1488648890404
700,2011001,1001102,4044125022001,1002205214404
701,2011002,2001102,4044129044004,4004409214404
702,2011011,1101102,4044165242121,1212425614404
703,2011012,2101102,4044169264144,4414629614404
704,2011101,1011102,4044527232201,1022327254404
705,2011111,1111102,4044567454321,1234547654404
706,2011201,1021102,4044929462401,1042649294404
707,2011211,1121102,4044969686521,1256869694404
708,2012001,1002102,4048148024001,1004208418404
709,2012011,1102102,4048188264121,1214628818404
710,2020001,1000202,4080404040001,1000404040804
711,2020002,2000202,4080408080004,4000808040804
712,2020011,1100202,4080444440121,1210444440804
